Radius (Å),RDF
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.0
0.75,0.0
0.8500000000000001,0.0
0.95,0.0
1.05,0.0
1.1500000000000001,0.0
1.25,0.0
1.35,0.0
1.4500000000000002,0.0
1.55,0.0
1.6500000000000001,0.0
1.75,0.0
1.85,0.0
1.9500000000000002,0.0
2.05,0.0
2.1500000000000004,0.0
2.25,0.0
2.3500000000000005,0.0
2.45,0.0
2.55,0.0
2.6500000000000004,0.0
2.75,0.0
2.8500000000000005,0.0019906683494768616
2.95,0.11562743942776826
3.05,1.0576680268270988
3.1500000000000004,3.0217374828994847
3.25,4.257729990549805
3.3500000000000005,4.002721518094247
3.45,3.1241844396437477
3.55,2.3471083165936677
3.6500000000000004,1.891028494756105
3.75,1.668230381705984
3.8500000000000005,1.6137407699991988
3.95,1.6134144906358028
4.050000000000001,1.6516002993433194
4.15,1.7107236868023308
4.25,1.7865419802220859
4.35,1.852927240209599
4.45,1.912806433279243
4.550000000000001,1.9830032285703314
4.65,2.035788843151052
4.75,2.0602976110622433
4.8500000000000005,2.068307743451381
4.95,2.071985322516837
5.050000000000001,2.052532984560387
5.15,2.023934342884825
5.25,1.9794148975613808
5.3500000000000005,1.9315338155543007
5.45,1.8816588452584506
5.550000000000001,1.8290938445892126
5.65,1.7729546705385282
5.75,1.7295037625172571
5.8500000000000005,1.6899325885994014
5.95,1.6559667951745631
6.050000000000001,1.6439535630489561
6.15,1.640717805375568
6.25,1.6496431718339493
6.3500000000000005,1.6667543638124565
6.45,1.7014126496727269
6.550000000000001,1.7392562816876342
6.65,1.7764176109968226
6.75,1.8193828112877666
6.8500000000000005,1.8559863166874326
6.95,1.8835392118252716
7.050000000000001,1.9206160419424276
7.15,1.9303974805836726
7.25,1.940232601553303
7.3500000000000005,1.9430930528798807
7.45,1.9346325082397122
7.550000000000001,1.9324341176610622
7.65,1.9157111110480856
7.75,1.8881764810732362
7.8500000000000005,1.872688840913551
7.95,1.8546987253568241
8.05,1.8376203174387613
8.15,1.8272659625219148
8.25,1.8098122833575034
8.350000000000001,1.8030995472126887
8.45,1.8003977669722375
8.55,1.7961442586279646
8.65,1.798678613201288
8.75,1.794716071745352
8.850000000000001,1.802094913992439
8.95,1.8078999753772267
9.05,1.8079606690339916
9.15,1.811907852694661
9.25,1.813143807484155
9.350000000000001,1.8199643308822187
9.45,1.818505874305158
9.55,1.822304111006021
9.650000000000002,1.8247580962149241
9.75,1.8229537206046418
9.850000000000001,1.8191784095634633
9.95,1.820412335200388
10.05,1.817609251007618
10.150000000000002,1.8183971842466309
10.25,1.8164705865329878
10.350000000000001,1.8139631811291612
10.45,1.8117804476432742
10.55,1.8139897865423114
10.650000000000002,1.8098205825615052
10.75,1.8089934460623194
10.850000000000001,1.810447920384842
10.95,1.80852638164259
11.05,1.8136862882591467
11.150000000000002,1.8053769098712324
11.25,1.8058489224600711
11.350000000000001,1.8074791820074791
11.45,1.8062368641388995
11.55,1.8050419003078841
11.650000000000002,1.804880338322295
11.75,1.8018544055885086
11.850000000000001,1.798698646555958
11.95,1.7964099196095664
12.05,1.7937649044379083
12.150000000000002,1.7938877448744344
12.25,1.791985399289876
12.350000000000001,1.7906354617680074
12.45,1.7864067059448914
12.55,1.7880597852391757
12.650000000000002,1.7848478501217508
12.75,1.785368220652565
12.850000000000001,1.787487417529487
12.95,1.7809716402398386
13.05,1.784802652420976
13.150000000000002,1.7794758428787503
13.25,1.7807488127121247
13.350000000000001,1.7805427084926104
13.45,1.7800671511601944
13.55,1.7783297568141523
13.650000000000002,1.7770704222930345
13.75,1.7763372980975405
13.850000000000001,1.7757289452240945
13.95,1.772800046834491
14.05,1.7720882123223458
14.150000000000002,1.7715113935624023
14.25,1.7671350268521233
14.350000000000001,1.7669111553389085
14.45,1.7657987054599311
14.55,1.7657397621461668
14.650000000000002,1.7631527761241206
14.75,1.7634775871558643
14.850000000000001,1.7594367931231563
14.95,1.7605874036714908
