Radius (Å),RDF
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.0
0.75,0.0
0.8500000000000001,0.0
0.95,0.0
1.05,0.0
1.1500000000000001,0.0
1.25,0.0
1.35,0.0
1.4500000000000002,0.0
1.55,0.0
1.6500000000000001,0.0
1.75,0.0
1.85,0.0
1.9500000000000002,0.0
2.05,0.0
2.1500000000000004,0.0
2.25,0.0
2.3500000000000005,0.0
2.45,0.0
2.55,0.0
2.6500000000000004,0.0
2.75,0.0
2.8500000000000005,0.0
2.95,0.12293285019866244
3.05,1.0987118910606655
3.1500000000000004,3.465793165992211
3.25,4.8642371672348785
3.3500000000000005,4.3201458525627565
3.45,3.3067906082855707
3.55,2.441637383578422
3.6500000000000004,1.8504500171755758
3.75,1.5655062387898628
3.8500000000000005,1.602875480405241
3.95,1.5321377823496813
4.050000000000001,1.6325778928025059
4.15,1.8823716583429568
4.25,2.0030791853340935
4.35,2.089305241514586
4.45,2.1839524650103503
4.550000000000001,2.178188420556226
4.65,2.2592489696219387
4.75,2.2684235522876537
4.8500000000000005,2.2447439160386318
4.95,2.184092179439272
5.050000000000001,2.0727021105528314
5.15,1.9502780566981417
5.25,1.9424062812653746
5.3500000000000005,1.8620588413016963
5.45,1.8165491716042055
5.550000000000001,1.6295026586292705
5.65,1.6058197072396214
5.75,1.5183213380494796
5.8500000000000005,1.4487019292698071
5.95,1.41723136579243
6.050000000000001,1.3693805226291305
6.15,1.391299010409611
6.25,1.335374949393144
6.3500000000000005,1.2944619504440649
6.45,1.377394622577055
6.550000000000001,1.347435084337046
6.65,1.3826110073491544
6.75,1.4472093673760331
6.8500000000000005,1.4118851585379888
6.95,1.4352721938010322
7.050000000000001,1.4609339262273986
7.15,1.404098919909979
7.25,1.3728518121753464
7.3500000000000005,1.3608501801805166
7.45,1.3682242057311185
7.550000000000001,1.303768044016073
7.65,1.2741124541236883
7.75,1.3019401358494493
7.8500000000000005,1.250428730264422
7.95,1.1550827018791094
8.05,1.1612470347735004
8.15,1.1438244369951547
8.25,1.1186290839490192
8.350000000000001,1.084674073995109
8.45,1.042557522267599
8.55,1.0089253672571283
8.65,0.9979027930842688
8.75,0.9581879339507643
8.850000000000001,0.9419832789799165
8.95,0.8980471741048307
9.05,0.8770065095544529
9.15,0.8619799724962972
9.25,0.836806403053145
9.350000000000001,0.7847657191412867
9.45,0.7430663869476756
9.55,0.696963689253919
9.650000000000002,0.7385042784884713
9.75,0.7068497952285819
9.850000000000001,0.6513748163905991
9.95,0.6828290844311184
10.05,0.6076426938594176
10.150000000000002,0.5828836847337076
10.25,0.6134348328086878
10.350000000000001,0.5410641361169328
10.45,0.5603838090562647
10.55,0.519321744254122
10.650000000000002,0.5266926365941105
10.75,0.5190252173310042
10.850000000000001,0.4891687361316607
10.95,0.46577656175375765
11.05,0.4654659163388225
11.150000000000002,0.46559093552041025
11.25,0.44191543259221183
11.350000000000001,0.42137730628043346
11.45,0.40594416428170044
11.55,0.3802138760397141
11.650000000000002,0.37905627739861286
11.75,0.37331738625110467
11.850000000000001,0.3669562370103923
11.95,0.35008603338872496
12.05,0.3562033950131541
12.150000000000002,0.34566761410588254
12.25,0.31817606542242066
12.350000000000001,0.31488342937346897
12.45,0.3183429990568923
12.55,0.3098988934217523
12.650000000000002,0.3088167936375089
12.75,0.2824165508626559
12.850000000000001,0.28866089322938715
12.95,0.29361939302538187
13.05,0.27575352720149987
13.150000000000002,0.2661915237398342
13.25,0.25194789062160466
13.350000000000001,0.2583904551634729
13.45,0.2408799816136798
13.55,0.25870211651618336
13.650000000000002,0.2559688512863404
13.75,0.21661196965363158
13.850000000000001,0.23416414341662523
13.95,0.22227125271738707
14.05,0.22754613480108107
14.150000000000002,0.2126261196936077
14.25,0.21597880325568397
14.350000000000001,0.19693253692636234
14.45,0.20901646545129834
14.55,0.21334538948955797
14.650000000000002,0.19777995830589815
14.75,0.19893200560760102
14.850000000000001,0.18440634165181838
14.95,0.18031039826266382
