Radius (Å),RDF
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.0
0.75,0.0
0.8500000000000001,0.0
0.95,0.0
1.05,0.0
1.1500000000000001,0.0
1.25,0.0
1.35,0.0
1.4500000000000002,0.0
1.55,0.0
1.6500000000000001,0.0
1.75,0.0
1.85,0.0
1.9500000000000002,0.0
2.05,0.0
2.1500000000000004,0.0
2.25,0.0
2.3500000000000005,0.0
2.45,0.0
2.55,0.0
2.6500000000000004,0.0
2.75,0.0
2.8500000000000005,0.002037724095499374
2.95,0.11701540556454625
3.05,1.056126314549243
3.1500000000000004,3.0054168328404787
3.25,4.240086618673067
3.3500000000000005,3.99815354432488
3.45,3.094210135501917
3.55,2.3355222589882945
3.6500000000000004,1.885997466341803
3.75,1.6633400411572319
3.8500000000000005,1.5889218513110348
3.95,1.5976508064829065
4.050000000000001,1.630043010979873
4.15,1.6908331501794156
4.25,1.773138803817201
4.35,1.8299699518822103
4.45,1.9008805751471867
4.550000000000001,1.959176169332839
4.65,2.0094499232976855
4.75,2.0404424848726634
4.8500000000000005,2.05425860684318
4.95,2.049932651840748
5.050000000000001,2.035770310779626
5.15,2.0019340157868157
5.25,1.9601272720630416
5.3500000000000005,1.9184557216310931
5.45,1.8606272130653425
5.550000000000001,1.8108188388107722
5.65,1.7576745195470547
5.75,1.7160536028592972
5.8500000000000005,1.6770330974834629
5.95,1.6480043251181342
6.050000000000001,1.6257017224163544
6.15,1.6164673783214338
6.25,1.6290681978910355
6.3500000000000005,1.65107945330384
6.45,1.6842117199162128
6.550000000000001,1.7226142418494546
6.65,1.7595493678831662
6.75,1.8020205167584586
6.8500000000000005,1.8344807743645832
6.95,1.8621269941813139
7.050000000000001,1.8894962277764265
7.15,1.9050762868542315
7.25,1.9179380436050066
7.3500000000000005,1.9192244073898834
7.45,1.9190828046191513
7.550000000000001,1.905941877103381
7.65,1.8902985713885432
7.75,1.8706908467843213
7.8500000000000005,1.8572305386618155
7.95,1.8317839207973001
8.05,1.8144721864718456
8.15,1.8056088929420657
8.25,1.7861041967939182
8.350000000000001,1.780317360874709
8.45,1.7746610539986505
8.55,1.7719962388663764
8.65,1.7742067305400888
8.75,1.773264665919535
8.850000000000001,1.776732181440538
8.95,1.777581380046051
9.05,1.783351450454581
9.15,1.785186589976959
9.25,1.7929012769830646
9.350000000000001,1.7903811407272456
9.45,1.799110285920815
9.55,1.794875920571421
9.650000000000002,1.7949992678605322
9.75,1.7979506366899285
9.850000000000001,1.7939779561746578
9.95,1.790486513297012
10.05,1.788281866965082
10.150000000000002,1.7859428043427503
10.25,1.7840826253952553
10.350000000000001,1.7827713735721493
10.45,1.781097229023768
10.55,1.780549781397494
10.650000000000002,1.7828336509778542
10.75,1.7806891380210716
10.850000000000001,1.7777817341764637
10.95,1.7776912388614783
11.05,1.779464754918799
11.150000000000002,1.7758675996611633
11.25,1.7739070729011648
11.350000000000001,1.7747374677071952
11.45,1.7717219216108864
11.55,1.7702476232808364
11.650000000000002,1.770997122482823
11.75,1.7630862269451744
11.850000000000001,1.7653073311731584
11.95,1.7627187044806127
12.05,1.758321671305774
12.150000000000002,1.7556573319572155
12.25,1.7544924402021662
12.350000000000001,1.7547523738176474
12.45,1.752954303032374
12.55,1.7504121509824353
12.650000000000002,1.7467963794648251
12.75,1.7467765736156744
12.850000000000001,1.7433847549029045
12.95,1.7451030630600806
13.05,1.7447905792804246
13.150000000000002,1.7427466918009824
13.25,1.7418628302763823
13.350000000000001,1.7385692808092104
13.45,1.7364290851565714
13.55,1.738756703830347
13.650000000000002,1.735653357274173
13.75,1.733355728721503
13.850000000000001,1.7329594749058341
13.95,1.731338033260713
14.05,1.729477692924
14.150000000000002,1.7293844892677477
14.25,1.7285609357337792
14.350000000000001,1.7255795989161962
14.45,1.7236945978209954
14.55,1.7231162077640336
14.650000000000002,1.7194534475933172
14.75,1.7171433344299865
14.850000000000001,1.714311185649765
14.95,1.7145293867385074
