Radius (Å),RDF
0.05,0.0
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.0
0.75,0.0
0.8500000000000001,0.0
0.95,0.0
1.05,0.0
1.1500000000000001,0.0
1.25,0.0
1.35,0.0
1.4500000000000002,0.0
1.55,0.0
1.6500000000000001,0.0
1.75,0.0
1.85,0.0
1.9500000000000002,0.0
2.05,0.0
2.1500000000000004,0.0
2.25,0.0
2.3500000000000005,0.0
2.45,0.0
2.55,0.0
2.6500000000000004,0.0
2.75,0.0
2.8500000000000005,0.0
2.95,0.06882726191113725
3.05,0.960219513976568
3.1500000000000004,3.193184112579381
3.25,4.918594005732611
3.3500000000000005,4.39675714152061
3.45,3.163798372497144
3.55,2.0977702693618663
3.6500000000000004,1.447286905204687
3.75,1.105101868637778
3.8500000000000005,0.9679354213758457
3.95,0.9374316553771834
4.050000000000001,0.9795943601359053
4.15,1.0496682547081058
4.25,1.1246007697437843
4.35,1.1521383019899891
4.45,1.2327188311262753
4.550000000000001,1.3055541875319128
4.65,1.375268864254003
4.75,1.3420370167827114
4.8500000000000005,1.369003611436639
4.95,1.3301908256342243
5.050000000000001,1.3201832935143838
5.15,1.2297543829973092
5.25,1.1907227043742772
5.3500000000000005,1.1775242854135803
5.45,1.1148410161061444
5.550000000000001,1.1363655583563195
5.65,1.0604430510802962
5.75,1.0745109459458744
5.8500000000000005,1.0198567465759039
5.95,0.9877112604256031
6.050000000000001,0.9710025704320675
6.15,0.9479655351844091
6.25,0.9310343284201503
6.3500000000000005,0.8995862587511517
6.45,0.9217836542761547
6.550000000000001,0.9053239769420677
6.65,0.9402198949653451
6.75,0.984106042537877
6.8500000000000005,0.96827260029192
6.95,1.0244535571199915
7.050000000000001,0.9947415838050172
7.15,1.0118646410404926
7.25,1.0385173611336473
7.3500000000000005,1.0080909493259513
7.45,1.0155361704729207
7.550000000000001,0.9866214234884589
7.65,0.9447289786308606
7.75,0.9303697457317064
7.8500000000000005,0.9184114488945981
7.95,0.8873849820015803
8.05,0.8615044079167964
8.15,0.8404222832637981
8.25,0.8366021119737802
8.350000000000001,0.8089902567020829
8.45,0.8086463794495479
8.55,0.7929243602214352
8.65,0.7846215001551851
8.75,0.8027059190842377
8.850000000000001,0.7811714315794053
8.95,0.7789202255376497
9.05,0.7683862142409009
9.15,0.7590995376327478
9.25,0.7469747810928593
9.350000000000001,0.7163054723308355
9.45,0.7293033561435295
9.55,0.7057824126977682
9.650000000000002,0.7069032364117412
9.75,0.6958937840729339
9.850000000000001,0.6909027743984574
9.95,0.6889422771555407
10.05,0.6755346695735727
10.150000000000002,0.6708877232845731
10.25,0.6648346666383076
10.350000000000001,0.6575147737670777
10.45,0.6558086364165054
10.55,0.6592668560784305
10.650000000000002,0.6402925480336668
10.75,0.6409442407160858
10.850000000000001,0.6403193142064474
10.95,0.6365751119975654
11.05,0.6217181968295358
11.150000000000002,0.6159388455826212
11.25,0.6189981153923771
11.350000000000001,0.6012724096156591
11.45,0.6042623914933328
11.55,0.5771154716710077
11.650000000000002,0.5717459756057557
11.75,0.5654235185062828
11.850000000000001,0.5312151372513849
11.95,0.5137214053054099
12.05,0.49083068572672856
12.150000000000002,0.4610560050900893
12.25,0.4521793322775059
12.350000000000001,0.44370632440798813
12.45,0.4247033314485588
12.55,0.409956626657463
12.650000000000002,0.397212870794326
12.75,0.37838439409869035
12.850000000000001,0.36750575169551924
12.95,0.3502087787670037
13.05,0.3444819476432827
13.150000000000002,0.3342375249387253
13.25,0.3250096475977981
13.350000000000001,0.3150706922442648
13.45,0.3073082770673973
13.55,0.29755648067528306
13.650000000000002,0.2921752699750717
13.75,0.277348172067012
13.850000000000001,0.28178728220173493
13.95,0.2641748144732908
14.05,0.2678127913339954
14.150000000000002,0.25365614026889566
14.25,0.24878495287730085
14.350000000000001,0.2500073444065847
14.45,0.2337584949326797
14.55,0.23080306345923732
14.650000000000002,0.229358731338197
14.75,0.2213577181100405
14.850000000000001,0.21745428600006306
14.95,0.2218766101132614
